Date: 4 OCTOBER 2022
Johnathan,Olufsen,04484305475,1.77,18,19,FEBRUARY,1981,0,3,4,1,5,2
Angel,Lea,40046181673,2.23,18,19,MARCH,1981,0,7,9,2,1,3
Jefferson,Opheim,75904002949,2.09,18,21,JANUARY,1981,0,4,7,2,6,7
Anderson,Rustad,58557186189,1.73,18,12,OCTOBER,1981,0,6,5,6,8,3
Roger,Nymoen,90501978628,2.04,18,3,APRIL,1981,0,9,4,3,2,8
Ricky,Bruvik,33917320373,1.83,18,30,JANUARY,1981,0,5,9,4,9,2
Dominick,Holth,60845664206,2.18,18,17,AUGUST,1981,0,7,5,8,1,4
Abraham,Lorentsen,42546070780,2.11,18,27,DECEMBER,1981,0,5,2,5,6,6
Geoffrey,Johnsrud,17354763413,2.13,18,13,NOVEMBER,1981,0,5,6,5,3,6
Troy,Fossen,15740770744,1.63,18,31,JANUARY,1981,0,3,9,7,6,9
Abel,Haraldsen,81247355210,2.08,18,27,MARCH,1981,0,4,7,7,4,2
Christopher,Kvam,36860038921,2.06,18,23,FEBRUARY,1981,0,9,6,3,7,9
Luciano,Amundsen,79722750724,2.26,18,20,SEPTEMBER,1981,0,1,7,7,8,3
Jaydon,Myrvoll,41976725821,1.88,18,26,NOVEMBER,1981,0,3,2,6,2,7
Kareem,Rød,63736093475,2.13,18,14,FEBRUARY,1981,0,4,4,5,1,7
Tylor,Kildal,46461066948,1.78,18,31,JANUARY,1981,0,6,7,3,7,1
Paxton,Skeie,15748458620,1.67,18,6,APRIL,1981,0,2,3,1,6,3
Walker,Storsveen,91974921337,2.38,18,14,JUNE,1981,0,6,1,4,6,9
Moises,Holen,21606254400,1.94,18,27,OCTOBER,1981,0,3,3,4,4,8
Jaquez,Haugerud,06425477606,2.33,18,13,JULY,1981,0,2,7,7,2,4
Carlos,Nordberg,42819060040,1.93,18,29,NOVEMBER,1981,0,8,5,1,3,7
London,Folkestad,48344028238,2.29,18,28,MARCH,1981,0,3,3,3,1,5
Alejandro,Johansen,05894175128,2.17,18,11,JULY,1981,0,1,9,7,3,3
Maximus,Lauritzen,09514540914,2.03,18,6,MARCH,1981,0,9,1,8,7,7
Rene,Haugland,82942484071,2.34,18,27,OCTOBER,1981,0,5,5,7,1,3
Gerard,Lillevik,51224550976,1.62,18,5,JULY,1981,0,2,2,9,4,6
Weston,Kjær,27698828383,2.31,18,23,DECEMBER,1981,0,8,6,4,7,4
Kieran,Midtun,68152748594,1.68,18,19,SEPTEMBER,1981,0,8,4,1,2,6
Leonardo,Corneliussen,39793748091,2.10,18,2,MARCH,1981,0,4,7,2,3,2
Heriberto,Knudsen,24777514761,2.32,18,1,JUNE,1981,0,6,8,7,9,2
Rowan,Granlund,97309760851,2.33,18,24,DECEMBER,1981,0,8,2,3,7,6
Adrien,Gustavsen,02822776701,2.08,19,27,APRIL,1980,0,3,2,4,4,3
Demetrius,Ellefsen,43141097778,2.25,19,3,NOVEMBER,1980,0,7,6,4,1,6
Fred,Lindland,03478423052,1.77,19,18,JUNE,1980,0,6,2,9,6,5
Koby,Rekdal,52413727366,2.29,19,15,JULY,1980,0,8,7,2,5,6
Kolton,Hole,46912806952,2.17,19,10,SEPTEMBER,1980,0,9,6,8,6,9
